file,role
stageR0_reviewer_revision_protocol_lock.py,Prespecified reviewer-response protocol and governance lock
revision_R1_frozen_artifact_engine_audit.py,Frozen artifact and engine audit
revision_R2_manuscript_corrections.py,Initial manuscript correction integration
revision_R3A_P1_float32_engine_frozen_trajectory_unit_test.py,Float32 classical engine and trajectory reconstruction
revision_R3B_new_selector_implementation_unit_tests.py,Comparator implementation unit tests
revision_R3C_balanced_pool_classical_comparator_extension.py,Balanced-pool comparator analysis
revision_R4A_candidate_pool_construction_unit_tests.py,Candidate-pool imbalance construction and seed audit
revision_R4B_ridge_deterministic_imbalance_shards.py,Ridge deterministic imbalance shards
revision_R4D_lda_deterministic_imbalance_shards.py,LDA deterministic imbalance shards
revision_R4E_lda_random_imbalance_shards_FIXED_v4_D3_direct_restore.py,LDA random imbalance shards final direct-restore implementation
revision_R5A_temporal_split_drift_unit_tests.py,Temporal-split definitions and drift preflight
revision_R5B_ridge_temporal_split_sensitivity.py,Ridge temporal-split sensitivity
revision_R5C_within_session_drift_audit.py,Within-session drift audit
revision_R6A_cpu_runtime_amendment_preflight.py,CPU deep-stability preflight and model contract validation
revision_R6B_cpu_fixed_history_multiseed_shards.py,Fixed-history TCN multiseed analysis
revision_R6C_cpu_end_to_end_multiseed_badge_shards.py,End-to-end TCN multiseed and BADGE analysis
revision_R6D_deep_stability_compute_aggregation.py,Deep seed-stability and compute aggregation
revision_R7A_frozen_statistical_input_schema_audit.py,Frozen statistical input schema audit
revision_R7B_locked_statistical_analysis_supplement.py,Prespecified statistical analysis and supplement generation
revision_R8A_revised_manuscript_supplement_integration.py,Manuscript and supplement integration
stage5c1_dual_gpu_loso_pretraining.py,Leave-one-subject-out TCN pretraining driver
stage5d0_amp_freeze_and_acquisition_preflight.py,Deep adaptation and acquisition preflight
stage5d1_deterministic_engine_unit_tests.py,Deterministic TCN engine unit tests
stage5d2_full_deterministic_deep_trajectories.py,Deterministic deep trajectories
stage5e_30_seed_deep_random_trajectories.py,Thirty-seed deep random trajectories
stage5f_deep_statistics_retention_sensitivity.py,Deep statistics and retention sensitivity
